<<<msexch_database:sep(59)>>>
locale; en-US
"Path";"CookedValue"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o database writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o flush map writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o flush map writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o log writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\i/o log writes average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database cache miss (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/transport mail database)\database oldest transaction";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\defragmentation tasks";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\defragmentation tasks pending";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\sessions in use";"6"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\sessions % used";"0.561272217025257"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\table open cache % hit";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\table open cache hits/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\table open cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\table opens/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\table closes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\tables open";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log bytes write/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log bytes generated/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log threads waiting";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log generation checkpoint depth";"1"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log generation checkpoint depth target";"768"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log checkpoint depth as a % of target";"0.130208333333333"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log generation checkpoint depth max";"10240"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log generation loss resiliency depth";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log files generated";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log files generated prematurely";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log file current generation";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log writes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\log record stalls/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\version buckets allocated";"1"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache size (mb)";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache % hit";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache % hit (unique)";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache requests/sec (unique)";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database cache requests/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\streaming backup pages read/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\database maintenance duration";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/ip filtering database)\i/o database reads (recovery) average latency";"0"
