Name,Version,License,Link License Text,Repository path,Comment
Perl module: YAML-Tiny,1.67,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
PyInstaller,3.6,GPL-2.0,https://opensource.org/licenses/GPL-2.0,non-free/cmk-update-agent/src/pip-32/PyInstaller-3.6.tar.gz,
PyInstaller,3.6,GPL-2.0,https://opensource.org/licenses/GPL-2.0,non-free/cmk-update-agent/src/pip/PyInstaller-3.6.tar.gz,
Python,3.12.0,Python-2.0,https://spdx.org/licenses/Python-2.0.html,omd/packages/Python/Python-3.12.0.tar.xz,
Python module: annotated-types,0.5.0,MIT,https://opensource.org/licenses/MIT,,
Python module: apispec,5.2.2,MIT,https://opensource.org/licenses/MIT,,
Python module: apispec-oneofschema,3.0.0,LGPL-3.0,https://opensource.org/licenses/LGPL-3.0,,
Python module: azure-identity,1.12.0,MIT,https://opensource.org/licenses/MIT,,
Python module: azure-storage-blob,12.15.0,MIT,https://opensource.org/licenses/MIT,,
Python module: boto3,1.34.15,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: botocore,1.34.15,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: cython,0.29.34,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: deepdiff,6.3.0,MIT,https://opensource.org/licenses/MIT,,
Python module: dicttoxml,1.7.16,GPL-2.0,https://opensource.org/licenses/GPL-2.0,,
Python module: docstring-parser,0.15,MIT,https://opensource.org/licenses/MIT,,
Python module: exchangelib,4.9.0,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: feedparser,6.0.10,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: flask,3.0.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: google-auth,2.17.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: icalendar,5.0.7,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: idna,3.4,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: isodate,0.6.1,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: itsdangerous,2.1.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: jinja2,3.1.3,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: jira,3.5.0,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: jmespath,1.0.1,MIT,https://opensource.org/licenses/MIT,,
Python module: kubernetes,21.7.0,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: lxml,4.9.3,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: markupsafe,2.1.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: marshmallow,3.19.0,MIT,https://opensource.org/licenses/MIT,,
Python module: marshmallow-oneofschema,3.0.1,MIT,https://opensource.org/licenses/MIT,,
Python module: meraki,1.41.0,MIT,https://opensource.org/licenses/MIT,,
Python module: more-itertools,9.1.0,MIT,https://opensource.org/licenses/MIT,,
Python module: msal,1.26.0,MIT,https://opensource.org/licenses/MIT,,
Python module: multidict,6.0.4,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: netapp-ontap,9.14.1.0,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: numpy,1.26.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: oauthlib,3.2.2,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: openapi-spec-validator,0.7.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: opsgenie-sdk,2.1.5,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: ordered-set,4.1.0,MIT,https://opensource.org/licenses/MIT,,
Python module: paho-mqtt,1.6.1,EPL-2.0,https://opensource.org/licenses/EPL-2.0,,also BSD-3-Clause
Python module: pbr,5.11.1,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: ply,3.11,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: protobuf,3.20.1,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: psutil,5.9.4,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,,
Python module: psycopg2-binary,2.9.6,LGPL-2.1,https://opensource.org/licenses/LGPL-2.1,,
Python module: pyasn1,0.4.8,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: pyasn1-modules,0.2.8,BSD-2-Clause,https://opensource.org/licenses/bsd-license.php,,
Python module: pydantic,2.5.2,MIT,https://opensource.org/licenses/MIT,,
Python module: pydantic-core,2.14.5,MIT,https://opensource.org/licenses/MIT,,
Python module: pyghmi,1.5.60,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Python module: pymssql,2.2.11,LGPL-2.1,https://opensource.org/licenses/LGPL-2.1,,
Python module: pymysql,1.0.3,MIT,https://opensource.org/licenses/MIT,,
